Price,Close,High,Low,Open,Volume,SMA,EMA,Daily Return,Volatility
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2023-01-03,123.6325454711914,129.3955343973308,122.74288784071354,128.78266500655258,112117500,,123.6325454711914,,
2023-01-04,124.90771484375,127.18128340928531,123.64242739714908,125.43162222007305,89113600,,123.75399017333984,0.010314188450125661,
2023-01-05,123.58309936523438,126.30149268134268,123.32609306355886,125.66884902202133,80962700,,123.73771485828219,-0.010604753118513277,
2023-01-06,128.13023376464844,128.79253144434853,123.45460129199294,124.5617315121944,87754700,,124.15604999222184,0.036794144367390924,
2023-01-09,128.6541290283203,131.87667022454877,128.39712274020837,128.9704583829939,70790800,,124.58443847185026,0.004088771621490794,
2023-01-10,129.22744750976562,129.75135473588205,126.64744500156075,128.76284825892097,63896200,,125.02662980879458,0.00445627735211751,
2023-01-11,131.9557342529297,131.9754935222946,128.96056085226581,129.74147432770857,69458900,,125.68654451775983,0.021112285321257973,
2023-01-12,131.8766632080078,132.71688473025435,129.92930408672314,132.34126249583184,71379600,,126.27607963111677,-0.0005992240153074313,
2023-01-13,133.21116638183594,133.36933108444634,130.14680445669435,130.51254713349172,57809700,,126.93656408356622,0.010119327721563875,
2023-01-17,134.3776092529297,135.7120843078782,132.58841445883436,133.2803661632613,63646600,,127.64523505207703,0.0087563445526051,
2023-01-18,133.65599060058594,137.01690717262807,133.47805156045354,135.24748690824802,69672800,,128.2176879614588,-0.005370081045165009,
2023-01-19,133.7152862548828,134.6840184578663,132.23252641864943,132.5389610381249,58280400,,128.74126875130872,0.00044364382045603,
2023-01-20,136.28538513183594,136.4336701555814,132.67734247187641,133.72515693933153,80223600,,129.45975602564465,0.01922068111236075,
2023-01-23,139.48817443847656,141.67278077878365,136.31506144495467,136.5325341153351,81760300,,130.4148434935334,0.023500607226096815,
2023-01-24,140.891845703125,141.51460969317372,138.68748018952127,138.6973598255773,66435100,,131.41265322778023,0.010063012655367132,
2023-01-25,140.2295684814453,140.79300948686725,137.21461987031523,139.2707157250627,65799300,,132.252359442415,-0.00470060718116494,
2023-01-26,142.305419921875,142.59208020551668,140.26908361074402,141.52449124388164,54105100,,133.20979377379214,0.014803236313918777,
2023-01-27,144.25277709960938,145.53783884062292,141.43554202324185,141.51462437013356,70555800,,134.261506471489,0.013684350032510784,
2023-01-30,141.35647583007812,143.87717124792727,141.20820583984698,143.2939558417953,64015300,,134.93721783897368,-0.020077958482083824,
2023-01-31,142.6316375732422,142.6810659292456,140.64474436260411,141.05991540288298,65874500,134.21844520568848,135.67001971842782,0.009020893706326527,
2023-02-01,143.75851440429688,144.92496009089808,139.69576656602072,142.31530314667881,77663600,135.22474365234376,136.44035254565344,0.00790060922126079,0.012757870685104122
2023-02-02,149.0865936279297,149.44244157391893,146.46704171932092,147.18864741549214,118339000,136.43368759155274,137.64475645825118,0.0370627036994029,0.014354415638358766
2023-02-03,152.72425842285156,155.57116204732878,146.13092169771272,146.32861998643196,154357300,137.8907455444336,139.08089950249882,0.024399677438470935,0.013969165570017626
2023-02-06,149.986083984375,151.34034811867096,149.0470058450741,150.81644089095323,69858300,138.98353805541993,140.11948850077275,-0.017928876962658435,0.013955391236909349
2023-02-07,152.87252807617188,153.44586367074996,148.90862234047623,148.90862234047623,83322600,140.1944580078125,141.33406369842982,0.01924474601322057,0.014142199923076278
2023-02-08,150.17391967773438,152.80335083301824,149.43253973358082,152.11139923515765,64120100,141.24178161621094,142.17595474407787,-0.017652670708061202,0.015311684710559218
2023-02-09,149.135986328125,152.55622581029445,148.69116137357645,152.0125441621068,56007100,142.1007942199707,142.8388148949395,-0.006911541976374669,0.015297148489595166
2023-02-10,149.50228881835938,149.82899586326752,147.73016708482578,147.96777632833437,57450700,142.9820755004883,143.47343145907473,0.0024561643319838122,0.015240308898277667
2023-02-13,152.31398010253906,152.71987521484465,149.41322512989285,149.44292440380676,62199000,143.93721618652344,144.31538847273802,0.018807011627733683,0.015473866376183386
2023-02-14,151.67042541503906,152.2347417014366,149.35379194828116,150.60120648274088,61707600,144.8018569946289,145.0158681815286,-0.004225184628927403,0.01566022261479418
2023-02-15,153.7791748046875,153.94747569846558,151.3536388197947,151.58133825179516,65573800,145.808016204834,145.85046881230562,0.0139034975597776,0.015503841193058853
2023-02-16,152.17535400390625,154.76919088525318,151.8189476677602,151.97733873436857,68167900,146.73101959228515,146.4528388305533,-0.010429375777430416,0.01593601692196407
2023-02-17,151.0269317626953,151.47243590583543,149.34390771836374,150.8289315997935,59144100,147.4680969238281,146.88846672885253,-0.007546703266952504,0.015944932214967053
2023-02-21,146.99757385253906,149.78942626925934,146.92828058675818,148.7004026088836,58867200,147.84356689453125,146.89885788348934,-0.0266797309799518,0.016847568673796463
2023-02-22,147.4232635498047,148.45287338487984,145.6907358158214,147.383654456277,51011300,148.17013778686524,146.9488012802813,0.002895896075758797,0.016760043484004894
2023-02-23,147.9083709716797,148.83898834448985,145.7699480861059,148.591484366889,48394200,148.55407791137696,147.04018886993828,0.0032905757896963816,0.016676871410745208
2023-02-24,145.2452392578125,145.720442659753,144.26511807901926,145.64123957502227,55469600,148.70106887817383,146.86924128783107,-0.018005280542080393,0.017043692550916895
2023-02-27,146.44317626953125,147.68069636554856,145.97786750491304,146.23528135301038,44998500,148.81058883666992,146.82866366704062,0.008247685210476252,0.016875963156553538
2023-02-28,145.93824768066406,147.59157242356576,145.36403664496177,145.58184135182967,50547000,149.03967742919923,146.74386214452858,-0.0034479489022953835,0.01618404917978675
2023-03-01,143.85922241210938,145.76005131760687,143.56221459109048,145.3640509605452,55479000,149.10105667114257,146.46913455096484,-0.01424592457149354,0.01646541984267542
2023-03-02,144.4532470703125,145.24526294031543,142.4633051197938,142.9385237056633,52238100,149.13579330444335,146.27714526709318,0.004129208042717103,0.016398347317442996
2023-03-03,149.52212524414062,149.60132834219667,145.85906882111533,146.56197176838737,70732300,149.1575698852539,146.58619097919293,0.035090095076650396,0.0161703740192871
2023-03-06,152.29415893554688,154.73949959731118,151.92785785960842,152.25454983701871,87558000,149.13606491088868,147.12980697503616,0.018539287659803172,0.01575794229979723
2023-03-07,150.08644104003906,152.49217281957698,149.62113228238874,152.16546570634722,56182000,149.14108276367188,147.41139117170312,-0.014496405580742944,0.01557024021184186
2023-03-08,151.34375,151.93776567756532,150.31413994619248,151.2843514535327,47204800,149.06464385986328,147.78590153630282,0.008377232155338588,0.01504965173750348
2023-03-09,149.08648681640625,152.99704649679572,148.73008049756518,152.02683517023416,53833600,149.01027221679686,147.90976680107457,-0.014914809389841022,0.014896082723135307
2023-03-10,147.0173797607422,149.43302127956616,146.1362661024609,148.7103138108838,68572400,148.90434188842772,147.82477755913814,-0.013878568741190311,0.015139337523667805
2023-03-13,148.9676971435547,151.6110378452132,146.2253488070177,146.33425116280637,84457100,148.8776123046875,147.9336270433683,0.013265896766671226,0.015444324081376984
2023-03-14,151.06654357910156,151.86845415267095,148.60141331315802,149.76962498664284,73695900,148.81524047851562,148.23200004677147,0.014089272209963033,0.015174567395813287
2023-03-15,151.4625244140625,151.71992308668965,148.42316862217967,149.6804929323757,77167900,148.8048454284668,148.53966903413252,0.0026212344942782018,0.015158623648156871
2023-03-16,154.2939910888672,154.89790141964556,150.1260173130943,150.64082983435895,76161100,148.8305862426758,149.08769970601202,0.01869417326667633,0.015424732660000403
2023-03-17,153.4524688720703,155.17510202547024,152.7396561952458,154.52168788730708,98944600,148.894441986084,149.50339200754138,-0.005454018078462908,0.015282390596889177
2023-03-20,155.82850646972656,156.24432646768744,152.6109545912959,153.5217825705538,73641400,149.13452072143554,150.10578386108284,0.01548386686197345,0.01550790771110551
2023-03-21,157.6897430419922,157.80854012474336,154.97709383642948,155.7493201936468,73938300,149.66912918090821,150.8280656878361,0.011944134063989198,0.014134485787276043
2023-03-22,156.25421142578125,160.52117754091816,156.2344068779623,157.70953600837723,75701800,150.11067657470704,151.3448414724023,-0.009103519281077554,0.014418272637869059
2023-03-23,157.34323120117188,159.9370833205621,156.10571123599644,157.24423866782476,67622100,150.58241958618163,151.91611668466606,0.006969538711651957,0.014445465475082991
2023-03-24,158.65005493164062,158.73915274100096,156.27402271003157,157.27393337455686,59196500,151.25266036987304,152.55744413675887,0.008305560528357958,0.013585590955150247
2023-03-27,156.69972229003906,159.1648674270664,156.29381212775743,158.34315238139064,52390300,151.76548767089844,152.95194681802366,-0.012293299504005373,0.014056491621344978
2023-03-28,156.0760040283203,156.9076288835252,154.42267925169685,156.3928163743877,45992200,152.27237548828126,153.24947607614715,-0.003980340568595864,0.014070806291052054
2023-03-29,159.16485595703125,159.44205919265104,157.75903523168998,157.778824672489,51305700,153.03765716552735,153.8128455886123,0.019790690746736894,0.013873918473253364
2023-03-30,160.73899841308594,160.84790077737682,159.659884598305,159.9172833200629,49501700,153.85194473266603,154.47247919094312,0.009890012758090538,0.013911165097152966
2023-03-31,163.25363159179688,163.35263923391068,160.29349343380431,160.8182007028279,68749800,154.53852005004882,155.30877941959588,0.015644200869340708,0.012318690376041679
2023-04-03,164.5109405517578,164.62973762588464,162.5804125649775,162.62991638134497,56976200,155.14935913085938,156.185175717897,0.007701568091941446,0.011898650772867463
2023-04-04,163.97634887695312,165.17425973324032,163.46153634610226,164.9366655701128,46278300,155.84385452270507,156.9271922092357,-0.003249581292354864,0.011228736328456765
2023-04-05,162.125,163.40212898364032,160.1845772758085,163.0952264685397,51511700,156.38291702270507,157.42222152264185,-0.01129034089143166,0.011721273600856896
